,datetime,open,high,low,close
20170420031210,2017-04-20 03:12:10,1282.6,1283.9,1282.6,1283.9
20170420031556,2017-04-20 03:15:56,1283.9,1284.3,1283.4,1283.7
20170420031933,2017-04-20 03:19:33,1283.6,1284.4,1283.5,1284.3
20170420032611,2017-04-20 03:26:11,1284.2,1284.5,1283.4,1283.6
20170420033109,2017-04-20 03:31:09,1283.6,1283.8,1283.0,1283.2
20170420033952,2017-04-20 03:39:52,1283.2,1283.9,1283.1,1283.8
20170420035100,2017-04-20 03:51:00,1283.8,1284.5,1283.7,1283.8
20170420035543,2017-04-20 03:55:43,1283.8,1284.2,1283.5,1284.1
20170420040103,2017-04-20 04:01:03,1284.1,1284.1,1282.8,1282.8
20170420040551,2017-04-20 04:05:51,1282.8,1283.1,1281.8,1282.0
20170420040910,2017-04-20 04:09:10,1282.0,1282.5,1281.4,1281.4
20170420041152,2017-04-20 04:11:52,1281.3,1281.6,1280.7,1280.8
20170420041557,2017-04-20 04:15:57,1280.8,1280.9,1279.6,1279.7
20170420041736,2017-04-20 04:17:36,1279.7,1280.0,1279.4,1280.0
20170420041927,2017-04-20 04:19:27,1280.0,1280.7,1279.8,1280.5
20170420042131,2017-04-20 04:21:31,1280.5,1281.2,1280.5,1280.8
20170420042341,2017-04-20 04:23:41,1280.8,1281.5,1280.7,1281.0
20170420042810,2017-04-20 04:28:10,1281.1,1281.3,1280.6,1281.1
20170420043418,2017-04-20 04:34:18,1281.0,1282.0,1281.0,1281.7
20170420044240,2017-04-20 04:42:40,1281.8,1282.3,1281.5,1281.9
20170420045059,2017-04-20 04:50:59,1281.9,1281.9,1280.9,1281.0
20170420045706,2017-04-20 04:57:06,1281.0,1281.5,1280.5,1281.4
20170420050033,2017-04-20 05:00:33,1281.4,1281.6,1280.8,1281.5
20170420052347,2017-04-20 05:23:47,1281.6,1281.9,1281.0,1281.3
20170420054848,2017-04-20 05:48:48,1281.3,1282.0,1280.8,1282.0
20170420070000,2017-04-20 07:00:00,1282.2,1282.3,1280.8,1280.9
20170420072132,2017-04-20 07:21:32,1280.8,1281.4,1280.6,1281.1
20170420074803,2017-04-20 07:48:03,1281.1,1281.5,1280.1,1281.3
20170420080412,2017-04-20 08:04:12,1281.3,1281.8,1280.3,1280.5
20170420080927,2017-04-20 08:09:27,1280.5,1281.3,1280.0,1281.3
20170420082303,2017-04-20 08:23:03,1281.3,1282.0,1280.6,1281.7
20170420083704,2017-04-20 08:37:04,1281.6,1281.7,1280.7,1280.7
20170420084857,2017-04-20 08:48:57,1280.8,1281.6,1280.6,1280.8
20170420090945,2017-04-20 09:09:45,1280.8,1281.4,1280.5,1280.5
20170420092440,2017-04-20 09:24:40,1280.5,1280.7,1279.9,1280.6
20170420093617,2017-04-20 09:36:17,1280.5,1280.9,1280.1,1280.1
20170420095323,2017-04-20 09:53:23,1280.1,1280.9,1279.9,1280.9
20170420100122,2017-04-20 10:01:22,1281.0,1282.0,1281.0,1281.6
20170420100620,2017-04-20 10:06:20,1281.7,1281.9,1280.8,1281.9
20170420101148,2017-04-20 10:11:48,1281.9,1282.3,1281.4,1281.7
20170420101537,2017-04-20 10:15:37,1281.8,1282.7,1281.8,1282.4
20170420102103,2017-04-20 10:21:03,1282.4,1282.5,1281.7,1282.0
20170420103532,2017-04-20 10:35:32,1282.0,1282.8,1281.5,1282.6
20170420104543,2017-04-20 10:45:43,1282.6,1282.6,1281.4,1281.5
20170420104948,2017-04-20 10:49:48,1281.5,1281.6,1281.0,1281.6
